City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
315,hervey bay,0,AU,1567691115,88,-25.3,152.85,66.2,10.29
316,xining,95,CN,1567691115,68,36.62,101.77,54.77,3.85
317,ngunguru,100,NZ,1567691115,80,-35.62,174.5,54.0,21.0
318,constitucion,90,MX,1567691116,100,23.99,-104.67,59.0,3.36
319,plettenberg bay,100,ZA,1567691116,70,-34.05,23.37,57.29,12.77
320,parana,90,BR,1567691116,100,-7.52,-72.89,73.4,2.24
321,fairbanks,40,US,1567690905,86,64.84,-147.72,45.0,3.36
322,vitim,100,RU,1567691117,98,59.44,112.57,49.55,4.16
323,skjervoy,0,NO,1567691117,66,70.03,20.97,53.6,5.82
324,kahului,1,US,1567691117,74,20.89,-156.47,80.6,14.99
325,lukovetskiy,40,RU,1567691117,82,64.29,41.92,59.0,6.71
326,miracema do tocantins,0,BR,1567691117,18,-9.56,-48.4,101.21,6.44
327,hovd,75,NO,1567691042,81,63.83,10.7,51.8,27.51
328,harper,1,US,1567691118,82,30.3,-99.24,75.99,10.42
329,klaksvik,75,FO,1567691118,93,62.23,-6.59,48.2,9.17
330,taoru,75,IN,1567691118,66,28.22,76.95,91.0,3.36
331,mount isa,0,AU,1567691119,29,-20.73,139.49,62.6,12.5
332,ilhabela,100,BR,1567691119,87,-23.78,-45.36,64.31,20.07
333,lompoc,90,US,1567691119,93,34.64,-120.46,59.0,3.36
334,aquiraz,40,BR,1567691119,58,-3.9,-38.39,84.2,20.8
335,oistins,40,BB,1567691120,74,13.07,-59.53,86.0,9.17
336,porto novo,75,BR,1567691120,77,-23.68,-45.44,64.4,6.93
337,atar,44,MR,1567691120,23,20.52,-13.05,103.19,2.82
338,muros,40,ES,1567691120,56,42.77,-9.06,81.0,14.99
339,rabo de peixe,40,PT,1567691120,69,37.8,-25.58,75.2,16.11
340,togur,100,RU,1567691121,84,58.36,82.83,49.19,5.37
341,nome,1,US,1567691121,83,30.04,-94.42,81.0,3.58
342,mayumba,100,GA,1567691121,85,-3.44,10.65,73.67,10.36
343,sabha,0,LY,1567691121,16,27.03,14.43,95.99,4.27
344,muroto,63,JP,1567691122,92,33.37,134.14,73.31,5.68
345,kabare,97,RW,1567691122,76,-1.65,29.38,65.75,2.01
346,khandbari,96,NP,1567691122,95,27.38,87.21,58.73,0.27
347,santa lucia,20,IT,1567691122,35,41.98,12.66,87.8,4.7
348,sao felix do xingu,0,BR,1567691123,28,-6.64,-51.99,100.49,5.84
349,avera,1,US,1567691123,74,33.19,-82.53,81.0,14.99
350,teguldet,87,RU,1567691123,93,57.31,88.17,47.75,3.96
351,preobrazheniye,100,RU,1567691124,86,42.9,133.91,61.97,2.35
352,havre-saint-pierre,20,CA,1567691124,81,50.23,-63.6,51.8,21.92
353,kumba,100,CM,1567691126,83,4.64,9.44,79.25,6.73
354,noumea,90,NC,1567691088,82,-22.28,166.46,73.0,4.7
355,anagni,40,IT,1567691126,45,41.74,13.15,87.8,2.24
356,tilichiki,0,RU,1567691127,79,60.47,166.1,39.29,2.35
357,iisalmi,0,FI,1567691127,59,63.56,27.19,64.4,18.34
358,surandai,100,IN,1567691127,93,8.97,77.4,73.67,1.99
359,tessalit,24,ML,1567691128,10,20.2,1.01,108.23,8.21
360,otane,100,NZ,1567691128,95,-39.89,176.62,46.99,5.01
361,vientiane,75,LA,1567691128,100,17.96,102.61,80.6,2.24
362,dingle,87,PH,1567691128,86,11.0,122.67,74.93,5.37
363,terra santa,43,BR,1567691128,40,-2.1,-56.49,95.81,6.62
364,west bay,20,CA,1567691129,93,49.34,-123.21,62.01,2.24
365,atikokan,74,CA,1567691129,78,48.76,-91.62,57.29,6.51
366,onega,100,RU,1567691129,76,63.91,38.09,61.25,11.45
367,takab,0,IR,1567691130,12,36.4,47.11,70.79,8.97
368,quatre cocos,40,MU,1567691130,69,-20.21,57.76,75.2,11.41
369,nizhnyaya tavda,0,RU,1567691130,92,57.67,66.17,49.91,3.94
370,la ronge,90,CA,1567691130,87,55.1,-105.3,53.6,9.17
371,yerbogachen,100,RU,1567691130,93,61.28,108.01,43.97,6.76
372,fuzhou,20,CN,1567691131,69,26.08,119.3,82.4,11.18
373,ketchikan,90,US,1567691131,93,55.34,-131.65,53.6,4.5
374,orlik,20,PL,1567691131,63,53.95,17.74,70.0,12.75
375,guerrero negro,0,MX,1567691132,84,27.97,-114.04,72.05,1.05
376,sharlyk,37,RU,1567691132,78,52.93,54.74,55.31,11.05
377,longyearbyen,0,NO,1567691132,74,78.22,15.63,33.8,3.36
378,mango,99,CF,1567691132,92,4.65,22.36,78.71,3.02
379,abu dhabi,0,AE,1567690980,56,24.47,54.37,100.4,10.29
380,lincoln,75,GB,1567690970,48,53.23,-0.54,64.0,11.41
381,karratha,0,AU,1567691132,57,-20.74,116.85,65.57,12.3
382,pemba,20,MZ,1567691133,74,-12.97,40.52,80.6,12.75
383,iquitos,75,PE,1567691133,319,-3.75,-73.25,42.8,4.7
384,codrington,90,AU,1567691133,82,-28.95,153.24,64.4,3.76
